rvbank_star_name,n_observations_rvbank,archive_hostname,planet_name,match_method,match_note,orbital_period_days,orbital_period_err_upper_days,orbital_period_err_lower_days,semi_major_axis_au,semi_major_axis_err_upper_au,semi_major_axis_err_lower_au,eccentricity,eccentricity_err_upper,eccentricity_err_lower,omega_argument_of_periastron_deg,omega_err_upper_deg,omega_err_lower_deg,rv_semi_amplitude_m_s,rv_semi_amplitude_err_upper_m_s,rv_semi_amplitude_err_lower_m_s,inclination_deg,inclination_err_upper_deg,inclination_err_lower_deg,time_of_periastron_days,transit_mid_time_days,planet_mass_mjup,planet_mass_err_upper_mjup,planet_mass_err_lower_mjup,planet_mass_provenance,planet_mass_mearth,planet_mass_err_upper_mearth,planet_radius_rearth,planet_radius_rjup,discoverymethod,disc_facility,disc_year,parameter_reference,supplemented_parameters,supplement_reference,controversial_flag,stellar_teff_k,stellar_mass_msun,stellar_radius_rsun,stellar_fe_h_dex,stellar_logg_cgs,v_magnitude,distance_pc,n_planets_in_system
HD13808,253,HD 13808,HD 13808 c,direct,,53.753,0.05,-0.082,0.2554,0.0028,-0.0023,0.156,0.05,-0.061,,,,2.18,0.22,-0.2,,,,,,0.03133751,0.0056634,-0.00302048,Msini,9.96,1.8,3.13,0.279,Radial Velocity,La Silla Observatory,2021,Ahrer et al. 2021,,,0,5035,0.771,0.781,-0.21,4.57546,8.36,28.2305,2
HD13808,253,HD 13808,HD 13808 b,direct,,14.1815,0.0015,-0.0015,0.10519,0.00093,-0.0011,0.071,0.027,-0.047,,,,3.67,0.22,-0.22,,,,,,0.03523896,0.0037756,-0.00207658,Msini,11.2,1.2,3.35,0.299,Radial Velocity,La Silla Observatory,2021,Ahrer et al. 2021,,,0,5035,0.771,0.781,-0.21,4.57546,8.36,28.2305,2
GJ581,250,GJ 581,GJ 581 b,direct,,5.3686,0.0001,-0.0001,0.0399,0.0005,-0.0005,0.0342,0.009,-0.01,54,13,-14,12.3,0.1,-0.1,47,15,-13,2454751.76,2454724.631,0.06450021,0.01950738,-0.01101223,Mass,20.5,6.2,4.79,0.427,Radial Velocity,La Silla Observatory,2005,Bonfils et al. 2005,,,0,3500,0.295,0.302,-0.08,4.97,10.57,6.2981,3
GJ581,250,GJ 581,GJ 581 c,direct,,12.9211,0.0008,-0.0007,0.0718,0.0008,-0.0009,0.032,0.027,-0.021,16,61,-89,3.1,0.1,-0.1,47,15,-89,2454759.2,2455183.69,0.02142666,0.00066073,-0.00364977,Mass,6.81,0.21,2.5,0.223,Radial Velocity,La Silla Observatory,2007,Udry et al. 2007,,,0,3500,0.295,0.302,-0.08,4.97,10.57,6.2981,3
GJ581,250,GJ 581,GJ 581 e,direct,,3.1481,0.0004,-0.0004,0.02799,0.0003,-0.0003,0.012,0.015,-0.008,226,91,-55,1.8,0.1,-0.1,47,15,-13,2454716.8,,0.00780295,0.00220245,-0.00132147,Mass,2.48,0.7,1.38,0.123,Radial Velocity,La Silla Observatory,2009,Mayor et al. 2009,,,0,3500,0.295,0.302,-0.08,4.97,10.57,6.2981,3
HD93385,249,HD 93385,HD 93385 c,direct,,13.18,0.003,-0.003,0.112,0.002,-0.002,0.2,,,,,,1.87,0.15,-0.15,,,,2455499,,0.0223391,0.00188781,-0.00188781,Msini,7.1,0.6,2.56,0.229,Radial Velocity,La Silla Observatory,2021,Unger et al. 2021,,,0,5977,1.04,1.18484,0.02,4.42,7.49,43.3475,3
HD93385,249,HD 93385,HD 93385 d,direct,,45.85,0.05,-0.05,0.2565,0.0043,-0.0043,0.09,0.15,-0.05,-55,41,-41,1.51,0.16,-0.16,,,,2455522.3,,0.02737326,0.00283172,-0.00283172,Msini,8.7,0.9,2.89,0.258,Radial Velocity,La Silla Observatory,2021,Unger et al. 2021,,,0,5977,1.04,1.18484,0.02,4.42,7.49,43.3475,3
HD93385,249,HD 93385,HD 93385 b,direct,,7.3426,0.0012,-0.0012,0.0756,0.0013,-0.0013,0.295,,,,,,1.36,0.15,-0.15,,,,2455504.5,,0.01321468,0.00157318,-0.00157318,Msini,4.2,0.5,1.88,0.168,Radial Velocity,La Silla Observatory,2021,Unger et al. 2021,,,0,5977,1.04,1.18484,0.02,4.42,7.49,43.3475,3
HD176986,243,HD 176986,HD 176986 c,direct,,16.8124,0.0015,-0.0015,0.11873,0.001,-0.001,0.111,0.08,-0.08,270,130,-130,2.84,0.18,-0.18,0.2419,,,2455514.4,2460614.69,6.601,,,Mass,2097.985315,,,,Radial Velocity,Multiple Observatories,2017,Su&aacute;rez Mascare&ntilde;o et al. 2018,,,0,4931,0.789,0.782,0.03,4.44,8.42,27.7843,3
HD176986,243,HD 176986,HD 176986 b,direct,,6.49164,0.0003,-0.00029,0.062956,0.00053,-0.00053,0.066,0.066,-0.066,249,91,-91,2.14,0.17,-0.17,0.2581,,,2455502.9,2460624.06,4.681,,,Mass,1487.754773,,,,Radial Velocity,Multiple Observatories,2017,Su&aacute;rez Mascare&ntilde;o et al. 2018,,,0,4931,0.789,0.782,0.03,4.44,8.42,27.7843,3
HD176986,243,HD 176986,HD 176986 d,direct,,61.376,0.051,-0.049,0.28149,0.0024,-0.0024,,,,,,,1.28,0.17,-0.17,,,,,2460614.69,0.02126934,0.00286318,-0.00289464,Msini,6.76,0.91,2.49,0.222,Radial Velocity,Multiple Observatories,2026,Nari et al. 2026,,,0,4931,0.789,0.782,0.03,4.44,8.42,27.7843,3
HD20781,237,HD 20781,HD 20781 b,direct,,5.3135,0.001,-0.001,0.0529,0.0024,-0.0027,0.1,0.11,-0.07,84.04,141.7,-108.41,0.91,0.15,-0.15,,,,2455503.203,,0.0061,0.0012,-0.0011,Msini,1.93,0.39,1.21,0.108,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5256,0.7,0.833609,-0.11,4.37,8.48,35.9715,5
HD20781,237,HD 20781,HD 20781 c,direct,,13.8905,0.0033,-0.0034,0.1004,0.0046,-0.0051,0.09,0.09,-0.06,7.44,53.87,-70.21,1.81,0.16,-0.16,,,,2455503.52,,0.0168,0.0022,-0.0021,Msini,5.33,0.7,2.17,0.193,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5256,0.7,0.833609,-0.11,4.37,8.48,35.9715,5
HD20781,237,HD 20781,HD 20781 e,direct,,85.5073,0.0983,-0.0947,0.3374,0.0155,-0.017,0.06,0.06,-0.04,70.59,61.4,-67.58,2.6,0.14,-0.14,,,,2455513.391,,0.0442,0.0049,-0.0049,Msini,14.03,1.56,3.83,0.342,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5256,0.7,0.833609,-0.11,4.37,8.48,35.9715,5
HD20781,237,HD 20781,HD 20781 d,direct,,29.158,0.0102,-0.01,0.1647,0.0076,-0.0083,0.11,0.05,-0.06,60.99,30.79,-30.03,2.82,0.17,-0.16,,,,2455511.326,,0.0334,0.0038,-0.0037,Msini,10.61,1.2,3.25,0.29,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5256,0.7,0.833609,-0.11,4.37,8.48,35.9715,5
GJ253,227,HD 51608,HD 51608 b,simbad,,14.0726,0.0016,-0.0016,0.1059,0.0043,-0.0046,0.09,0.04,-0.04,117.45,30.27,-28.91,3.95,0.16,-0.16,,,,2455494.524,,0.0402,0.0038,-0.0037,Msini,12.77,1.2,3.62,0.323,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5358,0.8,0.916136,-0.07,4.36,8.17,35.0553,2
GJ253,227,HD 51608,HD 51608 c,simbad,,95.9446,0.1555,-0.1366,0.3809,0.0153,-0.0164,0.14,0.07,-0.07,-165.07,29.34,-33.93,2.36,0.17,-0.17,,,,2455498.373,,0.045,0.0051,-0.0048,Msini,14.31,1.63,3.87,0.346,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5358,0.8,0.916136,-0.07,4.36,8.17,35.0553,2
HD21693,221,HD 21693,HD 21693 b,direct,,22.6786,0.0085,-0.0087,0.1455,0.0058,-0.0063,0.12,0.09,-0.08,-91.04,50.57,-50.35,2.2,0.22,-0.22,,,,2455492.055,,0.0259,0.0034,-0.0033,Msini,8.23,1.08,2.8,0.25,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5430,0.8,0.914378,0,4.37,7.95,33.255,2
HD21693,221,HD 21693,HD 21693 c,direct,,53.7357,0.0312,-0.0309,0.2586,0.0103,-0.0113,0.07,0.06,-0.05,-17.34,47.5,-55.35,3.44,0.2,-0.2,,,,2455528.406,,0.0547,0.0056,-0.0056,Msini,17.37,1.77,4.34,0.387,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5430,0.8,0.914378,0,4.37,7.95,33.255,2
BD-202976,220,WASP-166,WASP-166 b,simbad,,5.44354,4e-06,-4e-06,0.0641,0.0011,-0.0011,0,,,,,,10.4,0.4,-0.4,88,0.7,-0.7,,2457664.329,0.101,0.005,-0.005,Mass,32.10083,1.58915,7.06167,0.63,Transit,WASP-South,2019,Hellier et al. 2019,,,0,6050,1.19,1.22,0.19,4.34,9.351,114.173,1
GJ3293,217,GJ 3293,GJ 3293 c,direct,,122.6196,0.2429,-0.2371,0.36175,0.00048,-0.00047,0.11,0.1,-0.08,-21.4,14.2,-14.2,4.891,0.3,-0.295,,,,2455687.8,,0.06635623,0.00390146,-0.00396438,Msini,21.09,1.24,4.87,0.434,Radial Velocity,La Silla Observatory,2015,Astudillo-Defru et al. 2015,,,0,3466,0.42,0.404,0.02,4.78125,11.945,20.1903,4
GJ3293,217,GJ 3293,GJ 3293 b,direct,,30.5987,0.0083,-0.0084,0.14339,3e-05,-3e-05,0.06,0.04,-0.04,-103,31.3,-31.3,8.603,0.32,-0.323,,,,2455638.7,,0.07406475,0.00276878,-0.00280024,Msini,23.54,0.88,5.19,0.463,Radial Velocity,La Silla Observatory,2015,Astudillo-Defru et al. 2015,,,0,3466,0.42,0.404,0.02,4.78125,11.945,20.1903,4
GJ3293,217,GJ 3293,GJ 3293 e,direct,,13.2543,0.0078,-0.0104,0.08208,3e-05,-4e-05,0.21,0.2,-0.14,,,,1.658,0.328,-0.321,,,,,,0.01031998,0.00201366,-0.00201366,Msini,3.28,0.64,1.63,0.145,Radial Velocity,La Silla Observatory,2017,Astudillo-Defru et al. 2017,,,0,3466,0.42,0.404,0.02,4.78125,11.945,20.1903,4
GJ3293,217,GJ 3293,GJ 3293 d,direct,,48.1345,0.0628,-0.0661,0.19394,0.00017,-0.00018,0.12,0.13,-0.09,,,,2.42,0.338,-0.334,,,,,,0.02391215,0.00330365,-0.00330365,Msini,7.6,1.05,2.67,0.238,Radial Velocity,La Silla Observatory,2017,Astudillo-Defru et al. 2017,,,0,3466,0.42,0.404,0.02,4.78125,11.945,20.1903,4
WASP-76,217,WASP-76,WASP-76 b,direct,,1.80988198,6.4e-07,-5.6e-07,0.033,0.0002,-0.0002,0,,,51,25,-100,116.02,1.29,-1.35,89.623,0.005,-0.034,2456107.73,2458080.626,0.894,0.014,-0.013,Mass,284.1385959,4.4495977,20.78145022,1.854,Transit,SuperWASP,2016,West et al. 2016,,,0,6329,1.458,1.756,0.366,4.196,9.518,194.459,1
K2-138,214,K2-138,K2-138 g,direct,,41.96797,0.00843,-0.00725,0.23109,0.00154,-0.00196,0.059,0.063,-0.04,164,92,-72,0.83,1.02,-0.58,89.4,0.4,-0.3,,2457773.862,0.01359217,0.01654973,-0.0095334,Mass,4.32,5.26,3.013,0.26880186,Transit,K2,2021,Hardegree-Ullman et al. 2021,,,0,5356.3,0.935,0.863,0.14,4.54,12.246,202.585,6
K2-138,214,K2-138,K2-138 c,direct,,3.56004,0.00012,-0.00011,0.04461,0.0003,-0.00038,0.045,0.051,-0.032,200,60,-27,2.78,0.5,-0.55,88.1,0.7,-0.7,,2457740.322,0.01985338,0.00355536,-0.00386999,Mass,6.31,1.13,2.299,0.20510304,Transit,K2,2017,Christiansen et al. 2018,,,0,5356.3,0.935,0.863,0.14,4.54,12.246,202.585,6
K2-138,214,K2-138,K2-138 d,direct,,5.40479,0.00021,-0.00021,0.05893,0.0004,-0.0005,0.043,0.041,-0.03,83,82,-38,3.03,0.52,-0.52,89,0.6,-0.6,,2457743.16,0.02491898,0.00437341,-0.00424755,Mass,7.92,1.39,2.39,0.21322152,Transit,K2,2017,Christiansen et al. 2018,,,0,5356.3,0.935,0.863,0.14,4.54,12.246,202.585,6
K2-138,214,K2-138,K2-138 e,direct,,8.26146,0.00021,-0.00022,0.0782,0.00053,-0.00066,0.077,0.048,-0.049,180,40,-44,4.31,0.67,-0.67,88.6,0.3,-0.3,,2457740.646,0.04080798,0.00622975,-0.00626121,Mass,12.97,1.98,3.39,0.30243554,Transit,K2,2017,Christiansen et al. 2018,,,0,5356.3,0.935,0.863,0.14,4.54,12.246,202.585,6
K2-138,214,K2-138,K2-138 f,direct,,12.75758,0.0005,-0.00048,0.10447,0.0007,-0.00088,0.062,0.064,-0.043,144,117,-80,0.47,0.61,-0.34,88.8,0.2,-0.2,,2457738.702,0.00512853,0.00667023,-0.00371268,Mass,1.63,2.12,2.904,0.25907753,Transit,K2,2017,Christiansen et al. 2018,,,0,5356.3,0.935,0.863,0.14,4.54,12.246,202.585,6
K2-138,214,K2-138,K2-138 b,direct,,2.35309,0.00022,-0.00022,0.03385,0.00023,-0.00029,0.048,0.054,-0.033,244,32,-97,1.56,0.53,-0.53,87.2,1.2,-1,,2457773.317,0.00975364,0.00330365,-0.00330365,Mass,3.1,1.05,1.51,0.13471318,Transit,K2,2017,Christiansen et al. 2018,,,0,5356.3,0.935,0.863,0.14,4.54,12.246,202.585,6
HD205478,213,nu Oct A,nu Oct A b,direct,,402.4,7.7,-6,1.24,0.02,-0.02,0.195,0.05,-0.037,100,32,-15,42.7,2.6,-1.6,108.2,,,,,2.19,0.11,-0.11,Mass,696.0442113,34.96112477,13.3,1.19,Radial Velocity,University of Canterbury Mt John Observatory,2016,Ramm et al. 2016,,,1,4910,1.57,5.04,0.18,3.23,3.73,21.1999,1
GJ744,211,HD 177565,HD 177565 b,simbad,,44.505,0.586,-0.293,0.246,0.019,-0.019,0.0593,0.1717,-0.05745,309.97,45.84,-306.08,2.71,1.12,-0.99,,,,,,0.04750967,0.02013655,-0.01903533,Msini,15.1,6.4,4,0.357,Radial Velocity,La Silla Observatory,2017,Feng et al. 2017,,,0,5627,1,0.971489,0.0812,4.39,6.15,16.9179,1
GJ163,207,GJ 163,GJ 163 c,direct,,25.63058,0.0255,-0.0255,0.1254,0.0001,-0.0001,0.099,0.086,-0.086,227,79.87,-79.87,2.75,0.35,-0.35,,,,2455057.7,,0.02139509,0.0028317,-0.0028317,Msini,6.8,0.9,2.5,0.223,Radial Velocity,La Silla Observatory,2013,Bonfils et al. 2013,,,0,3500,0.4,0.409738,0.1,4.81775,11.79,15.1285,3
GJ163,207,GJ 163,GJ 163 d,direct,,603.95116,7.55862,-7.55862,1.0304,0.0086,-0.0086,0.373,0.077,-0.077,118.3,20.5,-20.5,4.42,0.51,-0.51,,,,2455275,,0.09250228,0.00912437,-0.00912437,Msini,29.4,2.9,5.92,0.528,Radial Velocity,La Silla Observatory,2013,Bonfils et al. 2013,,,0,3500,0.4,0.409738,0.1,4.81775,11.79,15.1285,3
GJ163,207,GJ 163,GJ 163 b,direct,,8.63182,0.00155,-0.00155,0.0607,1e-05,-1e-05,0.073,0.05,-0.05,70.7,54.6,-54.6,6.13,0.33,-0.33,,,,2455042.553,,0.03335116,0.0018878,-0.0018878,Msini,10.6,0.6,3.25,0.29,Radial Velocity,La Silla Observatory,2013,Bonfils et al. 2013,,,0,3500,0.4,0.409738,0.1,4.81775,11.79,15.1285,3
GJ3138,206,GJ 3138,GJ 3138 b,direct,,1.22003,6e-05,-4e-05,0.0197,0.0005,-0.0005,0.19,0.18,-0.13,,,,1.43,0.27,-0.26,,,,,,0.00560048,0.00106975,-0.00103829,Msini,1.78,0.34,1.18,0.106,Radial Velocity,La Silla Observatory,2017,Astudillo-Defru et al. 2017,,,0,3717,0.681,0.5,-0.3,4.62872,10.8275,28.4712,3
GJ3138,206,GJ 3138,GJ 3138 d,direct,,257.8,3.6,-3.5,0.698,0.018,-0.019,0.32,0.2,-0.21,,,,1.47,0.35,-0.3,,,,,,0.03303653,0.00723657,-0.00660731,Msini,10.5,2.3,3.23,0.288,Radial Velocity,La Silla Observatory,2017,Astudillo-Defru et al. 2017,,,0,3717,0.681,0.5,-0.3,4.62872,10.8275,28.4712,3
GJ3138,206,GJ 3138,GJ 3138 c,direct,,5.974,0.001,-0.001,0.057,0.001,-0.001,0.11,0.11,-0.07,,,,1.93,0.26,-0.26,,,,,,0.01315168,0.00191927,-0.00185634,Msini,4.18,0.61,1.88,0.167,Radial Velocity,La Silla Observatory,2017,Astudillo-Defru et al. 2017,,,0,3717,0.681,0.5,-0.3,4.62872,10.8275,28.4712,3
HD20003,203,HD 20003,HD 20003 c,direct,,33.9239,0.0239,-0.0266,0.1964,0.0068,-0.0078,0.1,0.08,-0.07,53.33,45.86,-34.56,3.15,0.22,-0.2,,,,2455493.252,,0.0454,0.0046,-0.0044,Msini,14.44,1.47,3.89,0.347,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5494,0.875,0.921637,0.04,4.41,8.39,41.8316,2
HD20003,203,HD 20003,HD 20003 b,direct,,11.8482,0.0016,-0.0017,0.0974,0.0034,-0.0039,0.36,0.05,-0.05,-92.74,8.52,-8.61,3.84,0.2,-0.21,,,,2455489.511,,0.0367,0.0033,-0.0033,Msini,11.66,1.04,3.43,0.306,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5494,0.875,0.921637,0.04,4.41,8.39,41.8316,2
K2-32,203,K2-32,K2-32 b,direct,,8.992,8e-05,-8e-05,0.0795,0.00066,-0.00062,0.03,0.032,-0.021,220,77,-161,5.22,0.6,-0.6,89,0.5,-0.3,,2456900.927,0.04719528,0.00566343,-0.0053488,Mass,15,1.8,5.299,0.47274593,Transit,K2,2016,Dai et al. 2016,,,0,5271,0.83,0.86,-0.06,4.49,12.304,157.682,4
K2-32,203,K2-32,K2-32 e,direct,,4.34934,0.00039,-0.00039,0.04899,0.00041,-0.00038,0.043,0.048,-0.03,205,106,-134,0.92,0.57,-0.51,89,0.7,-0.7,,2456898.879,0.00660734,0.00409026,-0.00346099,Mass,2.1,1.3,1.212,0.10812758,Transit,K2,2019,Heller et al. 2019,,,0,5271,0.83,0.86,-0.06,4.49,12.304,157.682,4
K2-32,203,K2-32,K2-32 c,direct,,20.66093,0.0008,-0.00079,0.13843,0.00115,-0.00108,0.049,0.046,-0.035,168,117,-103,2.15,0.64,-0.65,89.4,0.3,-0.2,,2456899.423,0.02548545,0.00755124,-0.00755124,Mass,8.1,2.4,3.134,0.27959723,Transit,K2,2016,Dai et al. 2016,,,0,5271,0.83,0.86,-0.06,4.49,12.304,157.682,4
K2-32,203,K2-32,K2-32 d,direct,,31.71701,0.00101,-0.00096,0.18422,0.00152,-0.00144,0.05,0.053,-0.035,185,105,-104,1.53,0.58,-0.58,89.4,0.1,-0.1,,2456903.787,0.02108056,0.00786588,-0.00786588,Mass,6.7,2.5,3.484,0.3108222,Transit,K2,2016,Dai et al. 2016,,,0,5271,0.83,0.86,-0.06,4.49,12.304,157.682,4
HD181433,201,HD 181433,HD 181433 b,direct,,9.3745,0.00025,-0.00038,0.0828,0.0019,-0.002,0.396,0.015,-0.024,201.9,4.2,-7.91,2.646,0.089,-0.124,0.2542,,,2456470.15,,5.376,,,Mass,1708.645516,,,,Radial Velocity,La Silla Observatory,2008,Bouchy et al. 2009,,,0,4918,0.86,0.79,0.4012,4.45,8.4,26.8762,3
HD181433,201,HD 181433,HD 181433 d,direct,,6896.1,102.7,-123.7,6.74,0.18,-0.18,0.444,0.02,-0.018,250.1,3.4,-1.7,8.58,0.15,-0.13,164.5,6.8,-53,2450647.2,,2.7,1.7,-2,Mass,858.1366989,540.3082919,13.2,1.18,Radial Velocity,La Silla Observatory,2008,Bouchy et al. 2009,,,0,4918,0.86,0.79,0.4012,4.45,8.4,26.8762,3
HD181433,201,HD 181433,HD 181433 c,direct,,1018.5,1.47,-0.78,1.885,0.042,-0.044,0.2402,0.0093,-0.008,10.1,0.74,-1.5,17.05,0.19,-0.18,111,59,-62,2455711.3,,6.944,,,Mass,2207.000458,,,,Radial Velocity,La Silla Observatory,2008,Bouchy et al. 2009,,,0,4918,0.86,0.79,0.4012,4.45,8.4,26.8762,3
HD42581,200,GJ 229,GJ 229 A c,direct,,121.93268,0.06708,-0.08158,0.384,0.005,-0.005,0.366,0.065,-0.063,128.617,9.165,-9.407,1.872,0.125,-0.133,,,,2450370.18,,0.027,0.002,-0.002,Msini,8.58136699,0.63565681,2.87,0.256,Radial Velocity,Multiple Facilities,2020,Feng et al. 2020,,,1,3564,0.509,0.46,,4.69496,8.15,5.75624,2
HD42581,200,GJ 229,GJ 229 b,direct,,579.47495,1.67942,-1.41414,1.086,0.015,-0.015,0.404,0.105,-0.124,246.871,9.041,-7.956,1.966,0.161,-0.167,,,,2449954.33,,0.047,0.003,-0.004,Msini,14.93793513,0.95348522,3.97,0.354,Radial Velocity,Multiple Observatories,2014,Tuomi et al. 2014,,,1,3564,0.509,0.46,,4.69496,8.15,5.75624,2
GJ536,196,GJ 536,GJ 536 b,direct,,8.70874,0.00056,-0.00056,0.0668,0.0012,-0.0012,0,,,19.2,36.9,-42.8,3.03,0.15,-0.15,,,,,2460553.1,0.02004226,0.00119561,-0.00119561,Msini,6.37,0.38,2.41,0.215,Radial Velocity,La Silla Observatory,2016,Su&aacute;rez Mascare&ntilde;o et al. 2017,,,0,3641,0.528,0.529,-0.08,4.713,9.71,10.4092,2
GJ536,196,GJ 536,GJ 536 c,direct,,32.761,0.015,-0.015,0.1617,0.0028,-0.0028,0,,,,,,1.8,0.2,-0.2,,,,,2460547.35,0.01853201,0.00220245,-0.00220245,Msini,5.89,0.7,2.3,0.205,Radial Velocity,Multiple Facilities,2025,Su&aacute;rez Mascare&ntilde;o et al. 2025,,,0,3641,0.528,0.529,-0.08,4.713,9.71,10.4092,2
HD216435,196,HD 216435,HD 216435 b,direct,,1311,49,-49,2.56,0.17,-0.17,0.07,0.078,-0.078,100,,,19.6,1.5,-1.5,,,,2450870,,1.26,0.13,-0.13,Msini,400.4,41.3,13.7,1.22,Radial Velocity,Anglo-Australian Telescope,2002,Jones et al. 2003,,,0,5999,1.3,1.800029,0.244,4.154,6.03,32.9834,1
GJ279,195,HD 60532,HD 60532 b,simbad,,201.9,0.3,-0.3,0.77,0.02,-0.02,0.26,0.02,-0.02,-3.7,5.7,-5.7,29.1,0.9,-0.9,,,,2454594.7,,1.06,0.08,-0.08,Msini,336.8998,25.4264,13.8,1.23,Radial Velocity,La Silla Observatory,2008,Desort et al. 2008,,,0,6245,1.5,2.57,-0.26,3.8,4.44,25.9716,2
GJ279,195,HD 60532,HD 60532 c,simbad,,600.1,2.4,-2.4,1.6,0.04,-0.04,0.03,0.02,-0.02,179.8,58.7,-58.7,46.1,1,-1,,,,2454973,,2.51,0.16,-0.16,Msini,797.7533,50.8528,13.3,1.18,Radial Velocity,La Silla Observatory,2008,Desort et al. 2008,,,0,6245,1.5,2.57,-0.26,3.8,4.44,25.9716,2
HD10647,195,HD 10647,HD 10647 b,direct,,989.2,8.1,-8.1,2.015,0.011,-0.011,0.15,0.08,-0.08,212,39,-39,18.1,1.7,-1.7,,,,2453654,2452357,0.94,0.08,-0.08,Msini,298.75,25.43,13.8,1.23,Radial Velocity,W. M. Keck Observatory,2006,Butler et al. 2006,,,0,6218,1.11,1.1,0,4.62,5.52,17.3357,1
HD11964,195,HD 11964,HD 11964 c,direct,,37.91,0.041,-0.041,0.229,0.013,-0.013,0.3,0.17,-0.17,102,,,4.65,0.59,-0.59,,,,2454370,2455199.94,0.0788,0.0097,-0.0097,Msini,25,3.1,5.38,0.48,Radial Velocity,W. M. Keck Observatory,2008,Wright et al. 2009,,,0,5303,0.91,2.00971,0.1,3.79084,6.41525,33.5369,2
HD11964,195,HD 11964,HD 11964 b,direct,,1945,26,-26,3.16,0.19,-0.19,0.041,0.047,-0.047,26,19,-25,9.41,0.39,-0.39,,,,2454170,2455803,0.622,0.056,-0.056,Msini,198,18,14.1,1.26,Radial Velocity,W. M. Keck Observatory,2005,Butler et al. 2006,,,0,5303,0.91,2.00971,0.1,3.79084,6.41525,33.5369,2
GJ628,193,Wolf 1061,Wolf 1061 b,simbad,,4.8869,0.0005,-0.0005,0.0375,0.0012,-0.0013,0.15,0.13,-0.1,,,,1.67,0.2,-0.19,,,,,,0.0060095,0.00081805,-0.00078658,Msini,1.91,0.26,1.21,0.108,Radial Velocity,La Silla Observatory,2015,Wright et al. 2016,,,0,3342,0.294,0.307,-0.09,4.90218,10.1,4.30592,3
GJ628,193,Wolf 1061,Wolf 1061 c,simbad,,17.8719,0.0059,-0.0059,0.089,0.0029,-0.0031,0.11,0.1,-0.07,37,47,-47,1.92,0.19,-0.19,,,,,,0.01072901,0.00135292,-0.00129,Msini,3.41,0.43,1.66,0.148,Radial Velocity,La Silla Observatory,2015,Wright et al. 2016,,,0,3342,0.294,0.307,-0.09,4.90218,10.1,4.30592,3
GJ628,193,Wolf 1061,Wolf 1061 d,simbad,,217.21,0.55,-0.52,0.47,0.015,-0.017,0.55,0.08,-0.09,102,70,-70,2.23,0.31,-0.29,,,,,,0.02422679,0.0035239,-0.00333512,Msini,7.7,1.12,2.69,0.24,Radial Velocity,La Silla Observatory,2015,Wright et al. 2016,,,0,3342,0.294,0.307,-0.09,4.90218,10.1,4.30592,3
GJ436,192,GJ 436,GJ 436 b,direct,,2.64388312,5.7e-07,-5.7e-07,0.0291,0.0015,-0.0015,0.13827,0.00018,-0.00018,351,0.03,-0.03,17.09,0.22,-0.22,86.44,0.17,-0.16,2455959,2454510.802,0.07,0.007,-0.007,Mass,22.1,2.3,4.17,0.372,Radial Velocity,W. M. Keck Observatory,2004,Butler et al. 2004,,,0,3586.11,0.47,0.455,0.0991,4.792,10.67,9.75321,1
WASP-43,186,WASP-43,WASP-43 b,direct,,0.813475,1e-06,-1e-06,0.0142,0.0004,-0.0004,0,,,90,,,551,3.2,-3.2,82.6,1.3,-0.9,2457077.723,2455528.868,1.78,0.1,-0.1,Mass,565.714,31.782,10.424,0.93,Transit,SuperWASP,2011,Hellier et al. 2011,,,0,4400,0.58,0.6,-0.05,4.65,12.305,86.7467,1
GJ1061,184,GJ 1061,GJ 1061 d,direct,,13.066,0.002,-0.002,0.054,0.002,-0.002,0.04,0.04,-0.03,157,88,-71,1.63,0.17,-0.16,,,,2458306.4,,0.00525441,0.00053488,-0.00066073,Mass,1.67,0.17,1.16,0.104,Radial Velocity,La Silla Observatory,2020,Dreizler et al. 2020,,,0,2953,0.12,0.156,-0.08,5.15856,12.7,3.67278,3
GJ1061,184,GJ 1061,GJ 1061 b,direct,,3.2073,0.0002,-0.0003,0.021,0.0006,-0.0006,0.05,0.5,-0.03,145,81,-65,1.83,0.18,-0.17,77,9,-13,2458300.61,,0.00349245,0.0003461,-0.00028317,Mass,1.11,0.11,1.04,0.0926,Radial Velocity,La Silla Observatory,2020,Dreizler et al. 2020,,,0,2953,0.12,0.156,-0.08,5.15856,12.7,3.67278,3
GJ1061,184,GJ 1061,GJ 1061 c,direct,,6.6821,0.0008,-0.0008,0.0342,0.0009,-0.001,0.02,0.03,-0.02,88,95,-85,2.32,0.22,-0.19,,,,2458300.2,,0.0056949,0.00040903,-0.0003461,Mass,1.81,0.13,1.19,0.106,Radial Velocity,La Silla Observatory,2020,Dreizler et al. 2020,,,0,2953,0.12,0.156,-0.08,5.15856,12.7,3.67278,3
